Facility Name,CMS Certification Number,Alternate CCN 1,Alternate CCN 2,Alternate CCN 3,Address 1,Address 2,City,State,Zip Code,Network,Hemoglobin 12 g/dL Measure Score,Hemoglobin 12 g/dL Performance Period Rate,Number of Hemoglobin Eligible Patients Performance Period,Hemoglobin 12 g/dL Baseline Period Rate,Number of Hemoglobin Eligible Patients Baseline Period,Hemoglobin 12 g/dL Performance Score Applied,URR Measure Score,URR Performance Period Rate,Number of URR Eligible Patients Performance Period,URR Baseline Period Rate,Number of URR Eligible Patients Baseline Period,URR Performance Score Applied,Fistula Measure Score,Fistula Performance Period Rate,Number of Fistula Patient Months Performance Period,Fistula Baseline Period Rate,Number of Fistula Patient Months Baseline Period,Fistula Performance Score Applied,Catheter Measure Score,Catheter Performance Period Rate,Number of Catheter Patient Months Performance Period,Catheter Baseline Period Rate,Number of Catheter Patient Months Baseline Period,Catheter Performance Score Applied,Vascular Access Combined Measure Score,ICH CAHPS Admin Score,NHSN Event Reporting Score,Mineral Metabolism Reporting Score,Total Performance Score,PY2014 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2012",Date of ownership record update
FMC CAHABA VALLEY,012528,,,,120 CAHABA VALLEY PARKWAY,Suite 150,PELHAM,AL,35124,8,8,2%,44,10%,58,Achievement,10,100%,46,100%,52,Achievement,6,63%,505,57%,522,Achievement,10,5%,486,9%,337,Achievement,8%,10,10,10,88%,No reduction,09/17/1986,RENAL CARE GROUP INC.,09/17/2004
FLORENCE DIALYSIS,012529,,,,422 EAST DRIVE HICKS BOULEVARD,,FLORENCE,AL,35630,8,10,0%,94,9%,89,Achievement,10,100%,71,96%,55,Achievement,0,41%,791,43%,687,Achievement,9,6%,733,7%,482,Achievement,5%,10,10,10,85%,No reduction,09/16/1986,GAMBRO HEALTHCARE,03/06/2012
RAI EAST 11TH ST ANNISTON,012530,,,,522 EAST 11TH STREET,1ST FLOOR,ANNISTON,AL,36207,8,10,0%,51,5%,64,Achievement,10,100%,66,98%,65,Achievement,4,58%,745,56%,734,Achievement,9,6%,687,4%,520,Achievement,7%,10,10,10,91%,No reduction,01/07/1987,INDEPENDENT,03/06/2012
FMC JACKSON (TOMBIGBEE),012531,,,,215 WALKER SPRINGS ROAD,,JACKSON,AL,36545,8,8,2%,53,2%,57,Achievement,10,100%,57,100%,56,Achievement,3,54%,625,50%,619,Achievement,10,4%,599,7%,443,Achievement,7%,10,10,10,85%,No reduction,01/29/1987,FRESENIUS MEDICAL CARE,03/06/2012
DCI EUFAULA,012532,,,,123 A EAST BARBOUR STREET,,EUFAULA,AL,36027,8,10,0%,39,3%,40,Achievement,10,100%,38,100%,39,Achievement,5,59%,433,54%,458,Achievement,10,3%,420,5%,326,Achievement,8%,10,10,10,94%,No reduction,11/25/1987,"DIALYSIS CLINIC, INC.",03/06/2012
WALKER COUNTY DIALYSIS,012533,,,,589 HIGHWAY 78 WEST,,JASPER,AL,35501,8,10,0%,25,4%,28,Achievement,10,100%,22,100%,24,Achievement,6,63%,280,53%,277,Achievement,10,4%,258,14%,191,Achievement,8%,10,10,10,94%,No reduction,12/29/1987,NATIONAL RENAL INSTITUTES,03/06/2012
BESSEMER KIDNEY CENTER,012534,,,,975 9TH AVENUE SOUTHWEST,SUITE 500,BESSEMER,AL,35022,8,10,0%,51,4%,54,Achievement,10,100%,57,100%,53,Achievement,0,45%,633,49%,591,Achievement,9,7%,602,11%,416,Achievement,5%,10,10,10,85%,No reduction,03/22/1988,RENAL CARE GROUP INC.,10/29/2008
PCD PRATTVILLE,012535,,,,1815 GLYNWOOD DRIVE,,PRATTVILLE,AL,36066,8,10,0%,40,0%,45,Achievement,7,98%,42,100%,46,Achievement,0,45%,486,53%,517,Achievement,8,9%,461,3%,366,Achievement,4%,10,10,0,70%,No reduction,01/26/1990,DAVITA,03/06/2012
FMC MONTCLAIR,012536,,,,3918 MONTCLAIR ROAD,SUITE 110,BIRMINGHAM,AL,35213,8,10,0%,59,5%,60,Achievement,10,100%,63,100%,57,Achievement,3,53%,760,43%,679,Achievement,9,6%,727,9%,479,Achievement,6%,10,10,10,88%,No reduction,09/12/1990,RENAL CARE GROUP INC.,09/17/2004
FMC PRICHARD,012537,,,,4016 HIGHWAY 45,,WHISTLER,AL,36613,8,8,2%,54,2%,55,Achievement,10,100%,56,100%,56,Achievement,9,72%,596,61%,612,Achievement,10,3%,551,6%,435,Achievement,10%,10,10,10,94%,No reduction,04/23/1990,FRESENIUS MEDICAL CARE,03/06/2012
RCG ANDALUSIA,012538,,,,403 WEST BYPASS,,ANDALUSIA,AL,36420,8,10,0%,31,0%,36,Achievement,5,97%,31,94%,34,Achievement,10,82%,319,66%,407,Achievement,10,1%,306,8%,286,Achievement,10%,10,10,10,85%,No reduction,06/26/1991,RENAL CARE GROUP INC.,09/11/2008
FMC MONROEVILLE (WHETSTONE),012540,,,,676 SOUTH ALABAMA AVENUE,,MONROEVILLE,AL,36460,8,10,0%,26,0%,31,Achievement,10,100%,29,100%,32,Achievement,10,74%,320,80%,342,Achievement,10,0%,306,0%,240,Achievement,10%,10,10,10,100%,No reduction,09/18/1991,FRESENIUS MEDICAL CARE,08/10/2011
FMC DADEVILLE,012541,,,,52 WATERWORKS ROAD,,DADEVILLE,AL,36853,8,10,0%,20,7%,30,Achievement,4,96%,24,100%,29,Achievement,10,86%,270,75%,331,Achievement,10,3%,252,6%,232,Achievement,10%,10,10,10,82%,No reduction,03/11/1992,FRESENIUS MEDICAL CARE,07/11/2000
RAINBOW CITY DIALYSIS,012542,,,,2800 RAINBOW DRIVE,,RAINBOW CITY,AL,35906,8,10,0%,45,3%,61,Achievement,10,100%,47,89%,47,Achievement,4,58%,526,51%,573,Achievement,7,10%,495,19%,395,Achievement,6%,10,10,10,88%,No reduction,05/05/1992,GAMBRO HEALTHCARE,01/02/1980
DEMOPOLIS DIALYSIS,012543,,,,511 SOUTH CEDAR STREET,,DEMOPOLIS,AL,36732,8,10,0%,61,0%,51,Achievement,10,100%,55,91%,46,Achievement,0,45%,650,54%,545,Achievement,10,4%,607,3%,387,Achievement,5%,10,10,10,85%,No reduction,05/20/1992,GAMBRO HEALTHCARE,10/28/2011
OZARK DIALYSIS,012544,,,,214 HOSPITAL AVENUE,,OZARK,AL,36360,8,10,0%,31,3%,37,Achievement,10,100%,31,95%,37,Achievement,4,56%,369,54%,414,Achievement,10,0%,339,4%,290,Achievement,7%,10,10,10,91%,No reduction,08/04/1992,GAMBRO HEALTHCARE,06/21/2011
TUSCALOOSA DIALYSIS,012545,,,,805 OLD MILL STREET,,TUSCALOOSA,AL,35401,8,10,0%,78,0%,85,Achievement,10,100%,75,97%,77,Achievement,1,47%,931,50%,923,Achievement,10,5%,890,7%,636,Achievement,6%,10,10,0,85%,No reduction,08/11/1992,GAMBRO HEALTHCARE,08/02/2009
FMC TUSKEGEE,012546,,,,802 EAST MARTIN LUTHER KING HIGHWAY,,TUSKEGEE,AL,36083,8,10,0%,46,10%,59,Achievement,7,98%,46,100%,57,Achievement,10,83%,534,65%,631,Achievement,10,5%,525,12%,448,Achievement,10%,10,10,10,91%,No reduction,05/18/1993,FRESENIUS MEDICAL CARE,09/01/2010
FMC EASTERN SHORE,012547,,,,124 PROFESSIONAL PARK DRIVE,,FAIRHOPE,AL,36532,8,8,2%,51,4%,50,Achievement,10,100%,45,98%,48,Achievement,4,56%,546,62%,513,Achievement,8,8%,533,11%,352,Achievement,6%,10,10,10,82%,No reduction,08/01/1993,FRESENIUS MEDICAL CARE,02/08/2011
FAYETTE DIALYSIS,012548,,,,2450 TEMPLE AVENUE NORTH,,FAYETTE,AL,35555,8,10,0%,23,0%,32,Achievement,10,100%,24,100%,30,Achievement,8,70%,274,69%,335,Achievement,10,5%,265,4%,229,Achievement,9%,10,10,10,97%,No reduction,11/12/1993,GAMBRO HEALTHCARE,04/23/2010
DIALYSIS AFFILIATES OF SOUTH ALABAMA,012549,,,,1205 BELLEVILLE AVENUE,,BREWTON,AL,36426,8,10,0%,21,0%,20,Achievement,8,95%,21,75%,20,Improvement,3,33%,223,10%,231,Improvement,2,63%,211,82%,159,Improvement,3%,0,5,10,68%,No reduction,03/17/1994,INDEPENDENT,10/24/2009
GREENE COUNTY DIALYSIS,012550,,,,544 HIGHWAY 43,,EUTAW,AL,35462,8,7,3%,37,0%,41,Achievement,10,100%,36,97%,38,Achievement,0,37%,443,54%,430,Achievement,8,8%,430,11%,295,Achievement,4%,10,10,0,70%,No reduction,06/30/1994,GAMBRO HEALTHCARE,04/29/2010
SHEFFIELD DIALYSIS,012551,,,,1120 SOUTH JACKSON HIGHWAY SUITE 107,,SHEFFIELD,AL,35660,8,10,0%,46,7%,44,Achievement,10,100%,46,93%,44,Achievement,8,68%,535,66%,491,Achievement,10,0%,490,1%,339,Achievement,9%,10,10,10,97%,No reduction,01/01/1995,GAMBRO HEALTHCARE,10/24/2009
PCD ELMORE COUNTY,012553,,,,125 HOSPITAL DRIVE,,WETUMPKA,AL,36092,8,10,0%,25,4%,24,Achievement,10,100%,24,92%,25,Achievement,1,48%,305,62%,271,Achievement,8,8%,289,9%,187,Achievement,5%,10,10,10,85%,No reduction,01/30/1995,DAVITA,02/26/2011
"NNA OF ALABAMA, INC",012556,,,,7067 VETERANS PARKWAY SUITE 120,,PELL CITY,AL,35125,8,N/A,,9,0%,21,N/A,10,100%,13,100%,21,Achievement,7,65%,155,61%,221,Achievement,8,9%,162,8%,148,Achievement,8%,10,10,10,91%,No reduction,06/01/1995,FRESENIUS MEDICAL CARE,05/20/2010
PCD EAST MONTGOMERY,012557,,,,6890 WINTON BLOUNT BOULEVARD,,MONTGOMERY,AL,36117,8,10,0%,34,0%,35,Achievement,10,100%,35,94%,34,Achievement,1,40%,370,35%,359,Improvement,5,14%,324,13%,241,Achievement,3%,10,10,10,79%,No reduction,06/01/1995,DAVITA,10/24/2009
DCI DECATUR,012558,,,,1601 6TH AVENUE SOUTH EAST,,DECATUR,AL,35601,8,10,0%,82,7%,82,Achievement,0,89%,79,88%,82,Achievement,7,65%,991,55%,916,Achievement,3,19%,896,28%,642,Achievement,5%,10,10,10,55%,No reduction,05/24/1995,"DIALYSIS CLINIC, INC.",01/12/2000
FMC UNIVERSITY SOUTH ALABAMA,012559,,,,700 CLINIC DRIVE,,MOBILE,AL,36688,8,7,3%,62,3%,64,Achievement,7,98%,55,100%,54,Achievement,3,54%,627,42%,617,Achievement,10,4%,590,6%,441,Achievement,7%,10,10,10,73%,No reduction,01/14/1995,FRESENIUS MEDICAL CARE,01/04/2011
FMC HAMILTON,012560,,,,1256 MILITARY STREET SOUTH,,HAMILTON,AL,35570,8,10,0%,15,0%,12,Achievement,10,100%,14,100%,11,Achievement,9,71%,175,66%,143,Achievement,7,11%,169,9%,104,Achievement,8%,10,10,10,94%,No reduction,12/11/1995,RENAL CARE GROUP INC.,09/17/2004
FMC LAKEVIEW,012561,,,,"45 MEDICAL PARK DRIVE, SUITE A",,GUNTERSVILLE,AL,35976,8,10,0%,45,8%,51,Achievement,7,98%,49,96%,49,Achievement,3,55%,607,48%,547,Achievement,8,9%,560,12%,381,Achievement,6%,10,10,10,79%,No reduction,12/07/1995,FRESENIUS MEDICAL CARE,07/11/2000
DCI PELL CITY,012562,,,,62 COGSWELL DRIVE,,PELL CITY,AL,35125,8,10,0%,16,6%,17,Achievement,1,94%,16,100%,16,Achievement,2,44%,214,33%,199,Improvement,9,6%,198,4%,145,Achievement,6%,10,10,10,61%,No reduction,12/13/1995,"DIALYSIS CLINIC, INC.",01/11/2012
DCI CULLMAN,012563,,,,1734 EVA ROAD NORTHEAST,,CULLMAN,AL,35055,8,8,2%,42,9%,45,Achievement,7,98%,47,95%,43,Achievement,9,72%,549,63%,509,Achievement,7,10%,496,18%,356,Achievement,8%,10,10,10,79%,No reduction,01/04/1996,"DIALYSIS CLINIC, INC.",10/24/2009
SOUTH BALDWIN DIALYSIS CENTER,012565,,,,150 WEST PEACHTREE AVENUE,,FOLEY,AL,36535,8,10,0%,19,0%,30,Achievement,10,100%,18,96%,28,Achievement,6,62%,198,59%,293,Achievement,9,6%,178,11%,199,Achievement,8%,10,10,10,94%,No reduction,04/02/1996,DAVITA,07/11/2000
FMC SYLACAUGA,012566,,,,314 WEST SPRING STREET,,SYLACAUGA,AL,35150,8,10,0%,19,5%,21,Achievement,10,100%,21,100%,20,Achievement,2,52%,228,53%,222,Achievement,10,5%,221,6%,157,Achievement,6%,10,10,10,88%,No reduction,07/16/1996,RENAL CARE GROUP INC.,10/24/2009
FMC PARKWAY,012568,,,,1311 NORTH MEMORIAL PARKWAY SUITE 100,,HUNTSVILLE,AL,35801,8,8,2%,50,6%,51,Achievement,10,100%,50,100%,51,Achievement,10,74%,589,66%,536,Achievement,10,4%,554,7%,372,Achievement,10%,10,10,10,94%,No reduction,09/03/1996,FRESENIUS MEDICAL CARE,01/02/1980
NORTHPORT DIALYSIS,012570,,,,2401 HOSPITAL DRIVE,,NORTHPORT,AL,35476,8,10,0%,51,0%,51,Achievement,10,100%,47,85%,52,Achievement,2,51%,573,69%,575,Achievement,10,5%,502,3%,385,Achievement,6%,10,10,10,88%,No reduction,12/03/1996,GAMBRO HEALTHCARE,04/19/2011
DCI GEORGIANA,012571,,,,P O BOX 618,,GEORGIANA,AL,36033,8,10,0%,26,5%,37,Achievement,10,100%,28,98%,40,Achievement,1,38%,313,32%,405,Improvement,10,4%,304,1%,279,Achievement,6%,10,10,10,88%,No reduction,12/31/1996,"DIALYSIS CLINIC, INC.",10/24/2009
FMC CAMELLIA,012572,,,,108 L V STABLER DRIVE,,GREENVILLE,AL,36037,8,10,0%,40,6%,34,Achievement,10,100%,43,97%,34,Achievement,4,58%,498,62%,393,Achievement,9,7%,466,12%,274,Achievement,7%,10,10,10,91%,No reduction,02/12/1997,FRESENIUS MEDICAL CARE,10/24/2009
DCI BIRMINGHAM,012573,,,,8713 PARKWAY EAST,,BIRMINGHAM,AL,35206,8,10,0%,36,9%,32,Achievement,1,94%,36,97%,31,Achievement,8,68%,407,47%,344,Achievement,10,1%,380,1%,245,Achievement,9%,10,10,10,70%,No reduction,12/18/1997,"DIALYSIS CLINIC, INC.",10/24/2009
FMC CHAMBERS,012574,,,,802 HOSPITAL STREET,,LAFAYETTE,AL,36862,8,10,0%,21,4%,24,Achievement,10,100%,24,100%,26,Achievement,10,76%,265,74%,285,Achievement,7,11%,250,9%,204,Achievement,9%,10,10,10,97%,No reduction,06/10/1997,FRESENIUS MEDICAL CARE,01/02/1980
RCG WALKER,012575,,,,3510 3RD STREET NORTHEAST,,JASPER,AL,35504,8,10,0%,44,0%,45,Achievement,10,100%,45,98%,40,Achievement,0,45%,501,42%,506,Achievement,7,10%,469,11%,350,Achievement,4%,10,10,10,82%,No reduction,01/08/1998,RENAL CARE GROUP INC.,03/18/2011
DCI MONTGOMERY,012576,,,,544 SOUTH MCDONOUGH STREET,,MONTGOMERY,AL,36104,8,10,0%,69,4%,68,Achievement,8,99%,67,99%,69,Achievement,1,40%,740,35%,775,Improvement,6,13%,714,12%,557,Achievement,4%,10,10,10,76%,No reduction,06/05/1998,"DIALYSIS CLINIC, INC.",01/02/1980
RCG SOUTHSIDE,012578,,,,2131 MAGNOLIA AVENUE SOUTH #100,,BIRMINGHAM,AL,35205,8,10,0%,32,0%,28,Achievement,10,100%,37,100%,29,Achievement,1,37%,413,29%,346,Improvement,8,8%,382,7%,256,Achievement,5%,10,10,10,85%,No reduction,06/18/1998,RENAL CARE GROUP INC.,09/17/2004
FMC DAUPHIN ISLAND PKWY,012579,,,,2381 DAUPHIN ISLAND PARKWAY,,MOBILE,AL,36605,8,10,0%,53,6%,53,Achievement,7,98%,55,98%,59,Achievement,7,66%,645,71%,619,Achievement,10,2%,622,1%,437,Achievement,9%,10,10,10,88%,No reduction,07/08/1998,FRESENIUS MEDICAL CARE,01/02/1980
FMC THOMASVILLE,012580,,,,30230 HIGHWAY 43,,THOMASVILLE,AL,36784,8,5,5%,44,0%,46,Achievement,2,95%,44,100%,45,Achievement,1,46%,529,58%,500,Achievement,10,4%,513,1%,356,Achievement,6%,10,10,10,49%,0.5%,09/15/1998,FRESENIUS MEDICAL CARE,05/20/2011
FMC WILCOX,012582,,,,229 CAMDEN BYPASS,,CAMDEN,AL,36726,8,10,0%,23,0%,19,Achievement,4,96%,23,100%,21,Achievement,2,46%,256,38%,229,Improvement,10,4%,238,12%,169,Achievement,6%,10,10,10,70%,No reduction,11/04/1998,FRESENIUS MEDICAL CARE,07/11/2000
BESSEMER DIALYSIS,012583,,,,901 WESTLAKE MALL,STE 101,BESSEMER,AL,35020,8,10,0%,33,0%,51,Achievement,10,100%,36,96%,53,Achievement,0,36%,383,36%,605,Achievement,7,11%,371,16%,432,Achievement,4%,10,10,10,82%,No reduction,08/01/1998,GAMBRO HEALTHCARE,08/29/2011
ENSLEY DIALYSIS,012585,,,,2630 AVENUE EAST,,BIRMINGHAM,AL,35218,8,10,0%,54,0%,82,Achievement,10,100%,54,100%,81,Achievement,2,52%,623,45%,933,Achievement,6,13%,581,12%,667,Achievement,4%,10,10,10,82%,No reduction,08/01/1998,GAMBRO HEALTHCARE,01/02/1980
SYLACAUGA DIALYSIS,012588,,,,331 JAMES PAYTON BOULEVARD,,SYLACAUGA,AL,35150,8,7,3%,34,2%,47,Achievement,10,100%,26,92%,38,Achievement,2,51%,303,53%,425,Achievement,10,2%,295,8%,301,Achievement,6%,10,10,10,79%,No reduction,08/01/1998,GAMBRO HEALTHCARE,08/10/2011
BIRMINGHAM NORTH DIALYSIS,012589,,,,1917 32ND AVENUE NORTH,,BIRMINGHAM,AL,35207,8,10,0%,59,1%,74,Achievement,10,100%,70,97%,75,Achievement,2,43%,736,32%,865,Improvement,9,6%,694,10%,624,Achievement,6%,10,10,10,88%,No reduction,08/01/1998,GAMBRO HEALTHCARE,10/19/2002
DCI MOULTON,012590,,,,1962 MAIN STREET,,MOULTON,AL,35650,8,7,4%,24,19%,16,Improvement,6,95%,21,85%,13,Improvement,7,66%,282,55%,176,Achievement,6,18%,251,41%,116,Improvement,7%,10,10,10,70%,No reduction,03/16/1999,"DIALYSIS CLINIC, INC.",01/02/1980
FMC SHELBY,012591,,,,1022 FIRST STREET NORTH,SUITE 101,ALABASTER,AL,35007,8,10,0%,26,5%,37,Achievement,10,100%,29,100%,35,Achievement,8,70%,356,64%,371,Achievement,10,3%,337,9%,246,Achievement,9%,10,10,10,97%,No reduction,04/08/1999,RENAL CARE GROUP INC.,09/17/2004
BIRMINGHAM CENTRAL DIALYSIS,012592,,,,728 RICHARD ARRINGTON BOULEVARD SOUTH,,BIRMINGHAM,AL,35233,8,10,0%,54,1%,98,Achievement,7,98%,59,96%,96,Achievement,0,44%,580,43%,1081,Achievement,6,13%,594,8%,768,Achievement,3%,10,10,10,70%,No reduction,08/01/1998,GAMBRO HEALTHCARE,12/02/2009
FMC ODYSSEY DIALYSIS,012593,,,,40 HUGHES ROAD,,MADISON,AL,35758,8,7,3%,37,7%,41,Achievement,10,100%,40,98%,42,Achievement,6,62%,458,50%,463,Achievement,10,5%,428,9%,311,Achievement,8%,10,10,10,85%,No reduction,05/05/1999,FRESENIUS MEDICAL CARE,01/02/1980
